l,D_l_LCDM,D_l_LPEG,delta_D_l,modulation_function,relative_change
187,71391.06264639081,71312.58272851552,-78.47991787528736,0.9989007038841261,-0.10992961158738954
188,70568.3823829415,70647.99550830889,79.61312536738114,1.001128169906678,0.11281699066780085
189,69757.64572365403,69677.4554538134,-80.19026984063385,0.9988504447217398,-0.11495552782602328
190,68963.13472301596,69043.41157125692,80.27684824095923,1.001164054513522,0.11640545135220978
191,68182.12417113477,68102.19922933256,-79.9249418022082,0.9988277727810064,-0.11722272189936378
192,67415.00167435154,67494.18660160828,79.18492725673423,1.001174589116518,0.11745891165179725
193,66663.96855696243,66585.86426379735,-78.10429316507361,0.9988283881854657,-0.11716118145342003
194,65923.85855421131,66000.57569053797,76.71713632665342,1.0011637233925494,0.11637233925493977
195,65195.71357355294,65120.65311919338,-75.06045435955457,0.9988486903471825,-0.11513096528174718
196,64480.40232523017,64553.56926380111,73.16693857093924,1.0011347159126256,0.11347159126255972
197,63778.29828138907,63707.23336172624,-71.0649196628292,0.9988857507713785,-0.11142492286214918
198,63088.49783965394,63157.27571886207,68.77787920812989,1.0010901809610833,0.10901809610832092
199,62408.01734144143,62341.69324592123,-66.32409552019817,0.9989372503991382,-0.106274960086188
200,61738.27620529544,61802.00021874913,63.72401345369144,1.0010321637948199,0.1032163794819812
201,61080.13303904543,61019.13808121417,-60.994957831258944,0.9990013944830103,-0.09986055169897545
202,60433.55892765119,60491.710113050394,58.15118539920513,1.0009622333423855,0.09622333423855042
203,59795.24131545907,59740.03919845583,-55.20211700323853,0.9990768142114853,-0.09231857885146946
204,59166.46180270063,59218.62204995418,52.16024725355237,1.0008815846961998,0.08815846961998247
205,58547.946031144864,58498.90986484339,-49.03616630147735,0.9991624613735315,-0.08375386264685071
206,57938.36021265486,57984.19792930354,45.837716648682544,1.000791146254061,0.0791146254061065
207,57339.84237618091,57297.267558086605,-42.574818094304646,0.9992575002593312,-0.07424997406688079
208,56747.3327590982,56786.5842123118,39.251453213597415,1.0006916880724637,0.06916880724637106
209,56164.65995563985,56128.78195137735,-35.878004262500326,0.9993611996531121,-0.06388003468878402
210,55590.836816478,55623.29791785016,32.46110137216601,1.000583928993178,0.05839289931779554
211,55023.47089341461,54994.464010156255,-29.006883258356538,0.9994728270901968,-0.05271729098032632
212,54463.79511370622,54489.319053879495,25.52394017327606,1.000468640499987,0.04686404999869862
213,53912.79264503826,53890.77182557619,-22.020819462071813,0.9995915474160826,-0.04084525839174545
214,53368.96770941163,53387.47314082916,18.505431417535874,1.0003467451631873,0.03467451631872662
215,52833.46411218156,52818.47673724121,-14.987374940348673,0.9997163279903712,-0.028367200962870626
216,52303.100426676436,52314.57609549472,11.47566881828243,1.0002194070470902,0.021940704709026065
217,51778.60233520071,51770.62084534022,-7.981489860489091,0.9998458535089685,-0.01541464910315477
218,51262.83989178299,51267.35669685854,4.516805075545562,1.0000881107071922,0.008811070719220082
219,50754.24483081542,50753.15129268624,-1.0935381291783415,0.9999784542527856,-0.002154574721431773
220,50250.61421881919,50248.339097944525,-2.2751208746631164,0.9999547245161072,-0.004527548389271366
221,49751.99511835441,49757.56995259161,5.5748342372025945,1.0001120524759648,0.011205247596484703
222,49261.07902509193,49252.288049246694,-8.790975845236972,0.9998215431732472,-0.017845682675280305
223,48774.165765178186,48786.07312272523,11.907357547046558,1.0002441324697253,0.024413246972534986
224,48295.459525187056,48280.550887505895,-14.908637681161053,0.9996913035339609,-0.03086964660391294
225,47820.97571240034,47838.75270143763,17.776989037294697,1.000371740408314,0.03717404083138561
226,47350.75372073433,47330.258776546594,-20.49494418773247,0.9995671675194738,-0.04328324805262388
227,46886.334833963534,46909.380415261105,23.045581297570607,1.0004915202132814,0.04915202132813513
228,46426.594050665524,46401.18319877881,-25.410851886714227,0.999452666033201,-0.0547333966798927
229,45972.94673323633,46000.52090051504,27.574167278711684,1.0005997911649804,0.05997911649804434
230,45524.14420320519,45494.6262892478,-29.51791395739565,0.9993515987071467,-0.06484012928532416
231,45078.43310187645,45109.65765480077,31.22455292432278,1.000692671656394,0.06926716563939977
232,44639.13824250227,44606.45730943522,-32.68093306704395,0.9992678861117456,-0.07321138882543984
233,44203.782886312096,44237.654086458075,33.871200145978946,1.00076625116527,0.07662511652700049
234,43772.60147962851,43737.81862873006,-34.78285089844576,0.9992053739160413,-0.07946260839587858
235,43346.40457894072,43381.81031746479,35.40573852407397,1.0008168091187262,0.0816809118726202
236,42924.36656396293,42888.635996535224,-35.73056742770859,0.999167592435535,-0.08324075644649377
237,42504.3994367446,42540.14881774651,35.74938100190775,1.0008410748410905,0.08410748410905153
238,42091.770387036275,42056.30722811269,-35.46315892358689,0.9991574799872397,-0.08425200127602399
239,41680.58289645978,41715.44942719904,34.86653073925845,1.0008365173497182,0.08365173497182522
240,41275.83779070648,41241.87125424831,-33.966536458166956,0.999177084263428,-0.08229157365720324
241,40874.17429690641,40906.940985054986,32.766688148578396,1.000801647708173,0.0801647708172991
242,40474.97152035871,40443.69497691474,-31.276543443971605,0.9992272621259723,-0.07727378740276483
243,40079.30852092334,40108.81933563045,29.510814707107784,1.0007363104753093,0.07363104753092661
244,39687.52621207366,39660.038797865745,-27.48741420791339,0.9993074041939266,-0.06925958060734767
245,39299.80084434794,39325.02877077943,25.227926431485685,1.000641935223321,0.06419352233209584
